VAR00001;VAR00002;VAR00003;VAR00004;VAR00005;VAR00006;VAR00007;VAR00008;VAR00009
2;2;36;2;130;268,75;2813,1;479,7; 
2;2;37;2;130;268,75;722,4;239,7; 
2;2;38;2;130;268,75;2878,1;333,8; 
2;2;39;2;130;268,75;246,5;1600,5; 
2;2;40;2;130;268,75;727,6;322,2; 
2;2;41;2;130;268,75;947,2;539; 
2;2;42;2;130;268,75;1083;551,1; 
2;2;43;2;130;268,75;17,2;133,6; 
2;2;44;2;130;268,75;,7;74,1; 
2;2;45;2;130;268,75;3269,3;664,3; 
2;2;46;2;130;268,75;138,1;1058,5; 
2;2;47;2;130;268,75;507,7;597,9; 
2;2;48;2;130;268,75;552,1;233,7; 
2;2;49;2;130;268,75;1107,9;332,5; 
2;2;50;2;130;268,75;741,1;388,4; 
2;2;51;2;130;268,75;1163,1;409,8; 
2;2;52;2;130;268,75;652,8;513,7; 
2;2;53;2;130;268,75;1096,2;575,8; 
2;2;54;2;130;268,75;1410,6;588,3; 
3;0;0;3;109,564;218,612;2691;401;65
3;0;1;3;109,564;218,612;1118;1126;31
3;0;2;3;109,564;218,612;1849;863;199
3;0;3;3;109,564;218,612;902;506;42
3;0;4;3;109,564;218,612;700;2565;115
3;0;5;3;109,564;218,612;899;649;118
3;0;6;3;109,564;218,612;529;615;191
3;0;7;3;109,564;218,612;155;2817;157
3;0;8;3;109,564;218,612;500;3652;87
3;0;9;3;109,564;218,612;736;525;14
3;0;10;3;109,564;218,612;1220;2612;22
3;0;11;3;109,564;218,612;1509;4499;11
3;0;12;3;109,564;218,612;2405;818;522
3;0;13;3;109,564;218,612;756;2003;31
3;0;14;3;109,564;218,612;1565;890;489
3;0;15;3;109,564;218,612;1155;876;410
3;0;16;3;109,564;218,612;2127;2250;14
3;0;17;3;109,564;218,612;1374;514;6
3;0;18;3;109,564;218,612;961;1255;1385
3;0;19;3;109,564;218,612;1090;702;194
3;0;20;3;109,564;218,612;627;941;739
3;0;21;3;109,564;218,612;1015;452;604
3;0;22;3;109,564;218,612;784;1318;67
3;0;23;3;109,564;218,612;416;239;188
3;0;24;3;109,564;218,612;40;514;1076
3;0;25;3;109,564;218,612;731;885;233
3;0;26;3;109,564;218,612;51;1354;174
3;0;27;3;109,564;218,612;239;652;48
3;0;28;3;109,564;218,612;537;1112;404
3;0;31;3;127,4;254,2;150;958;75
3;0;32;3;127,4;254,2;54,2385;2220,2115;31
3;0;33;3;127,4;254,2;15,4236;1055,7664;36
3;0;34;3;127,4;254,2;62,0015;646,9155;228
3;0;35;3;127,4;254,2;103,404;998,836;3136
3;0;36;3;127,4;254,2;183,622;1156,688;72
3;0;37;3;127,4;254,2;261,251;1663,869;996
3;0;38;3;127,4;254,2;227,612;245,828;41
3;0;39;3;127,4;254,2;261,251;1374,049;8
3;0;40;3;127,4;254,2;7,66064;297,58136;91
3;0;41;3;127,4;254,2;62,0015;111,2695;228
3;0;42;3;127,4;254,2;263,839;1438,741;546
3;0;43;3;127,4;254,2;364,758;1868,292;36
3;0;44;3;127,4;254,2;491,553;608,097;44
3;0;45;3;127,4;254,2;116,342;1524,128;60
3;0;46;3;159,25;317,75;1933;533;65
3;0;47;3;159,25;317,75;212;1932;1824
3;0;48;3;159,25;317,75;102;2916;43
3;0;49;3;159,25;317,75;2162;803;43
3;0;50;3;159,25;317,75;942;1543;43
3;0;51;3;159,25;317,75;517;3413;220
3;0;52;3;159,25;317,75;632;2116;145
3;0;53;3;159,25;317,75;193;1441;203
3;0;54;3;159,25;317,75;726;3559;191
3;0;55;3;159,25;317,75;2330;4322;182
3;0;56;3;159,25;317,75;474;1839;21
3;0;57;3;159,25;317,75;13;1135;73
3;0;58;3;159,25;317,75;110;1138;38
3;0;59;3;159,25;317,75;380;1266;88
3;0;60;3;159,25;317,75;19;837;273
3;0;61;3;159,25;317,75;97;1418;673
3;0;62;3;159,25;317,75;28;1459;17
3;0;63;3;159,25;317,75;162;631;803
3;0;64;3;159,25;317,75;78;971;55
3;0;65;3;159,25;317,75;105;1950;50
3;0;66;3;159,25;317,75;439;889;107
3;0;67;3;159,25;317,75;250;2480;627
3;0;68;3;159,25;317,75;183;1981;111
4;0;7;3;111,75;276,88;728,6;142,3; 
4;0;8;3;111,75;276,88;808,8;53,1; 
4;0;9;3;111,75;276,88;720,9;47,1; 
4;0;10;3;111,75;276,88;601,7;239,3; 
4;0;11;3;111,75;276,88;868,6;92,1; 
4;0;12;3;111,75;276,88;860,3;250; 
4;0;13;3;111,75;276,88;905,1;124,7; 
4;0;14;3;111,75;276,88;959,7;160; 
4;0;15;3;111,75;276,88;1069,8;158,5; 
4;0;16;3;111,75;276,88;837,4;64,8; 
4;0;17;3;111,75;276,88;1214,6;143,6; 
4;0;18;3;111,75;276,88;931,9;102,1; 
4;0;19;3;111,75;276,88;456,7;46; 
4;0;20;3;111,75;276,88;1091,8;49,8; 
4;0;21;3;111,75;276,88;1170,1;63,9; 
4;0;22;3;111,75;276,88;409,9;135,1; 
4;0;23;3;111,75;276,88;2416,2;129,7; 
4;0;24;3;111,75;276,88;10,3;150,4; 
